Log file produced by: Storyboard Pro (StoryboardPro.exe) version 25.0.0 build 23967 2025-06-05 18:44:20
﻿2026-04-01 17:48:18;ACTION;Start Paste Panel(s) (SBU_SboardUtil.cpp,5019)
﻿  2026-04-01 17:48:18;ACTION;begin accum Paste Panels (CO_CommandManager.cpp,253)
﻿  2026-04-01 17:48:18;ACTION;Start DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;End DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700; OK 
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements; OK 
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.e; OK 
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d; OK 
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-30.tvg; OK 
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-31.tvg; OK 
﻿  2026-04-01 17:48:18;ACTION;Start DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;End DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-32.tvg; OK 
﻿  2026-04-01 17:48:18;ACTION;Start DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;End DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-33.tvg; OK 
﻿  2026-04-01 17:48:18;ACTION;Start DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;End DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-34.tvg; OK 
﻿  2026-04-01 17:48:18;ACTION;Start DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;End DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-35.tvg; OK 
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-36.tvg; OK 
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-37.tvg; OK 
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-38.tvg; OK 
﻿  2026-04-01 17:48:18;ACTION;Start DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;End DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;Start DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;End DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-39.tvg; OK 
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-40.tvg; OK 
﻿  2026-04-01 17:48:18;ACTION;Start DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;End DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-41.tvg; OK 
﻿  2026-04-01 17:48:18;ACTION;Start DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;End DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-42.tvg; OK 
﻿  2026-04-01 17:48:18;ACTION;Start DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;End DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-43.tvg; OK 
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-44.tvg; OK 
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-45.tvg; OK 
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-46.tvg; OK 
﻿  2026-04-01 17:48:18;ACTION;Start DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;End DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;Create;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-47.tvg; OK 
﻿  2026-04-01 17:48:18;ACTION;Start DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;End DropModels (DD_System.cpp,1703)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
﻿  2026-04-01 17:48:18;ACTION;end accum (CO_CommandManager.cpp,489)
